fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1931-05-11,5,5,1970-01-01 00:00:00.000001930,0
1931-11-13,3,3,1970-01-01 00:00:00.000001930,0
1931-11-23,1,1,1970-01-01 00:00:00.000001930,0
1931-11-24,3,3,1970-01-01 00:00:00.000001930,0
1931-11-26,1,1,1970-01-01 00:00:00.000001930,0
1931-05-12,6,2,1970-01-01 00:00:00.000001930,4
1931-06-12,7,5,1970-01-01 00:00:00.000001930,2
1931-09-12,2,2,1970-01-01 00:00:00.000001930,0
1931-12-31,5,4,1970-01-01 00:00:00.000001930,1
1932-01-21,1,1,1970-01-01 00:00:00.000001930,0
1932-01-29,8,8,1970-01-01 00:00:00.000001930,0
1932-01-02,5,5,1970-01-01 00:00:00.000001930,0
1932-02-02,2,1,1970-01-01 00:00:00.000001930,1
1932-02-02,1,1,1970-01-01 00:00:00.000001930,0
1932-02-27,3,3,1970-01-01 00:00:00.000001930,0
1932-08-03,5,3,1970-01-01 00:00:00.000001930,2
1932-03-19,7,7,1970-01-01 00:00:00.000001930,0
1932-03-21,1,1,1970-01-01 00:00:00.000001930,0
1932-03-29,3,3,1970-01-01 00:00:00.000001930,0
1932-03-31,1,1,1970-01-01 00:00:00.000001930,0
1932-04-21,1,1,1970-01-01 00:00:00.000001930,0
1932-05-16,3,3,1970-01-01 00:00:00.000001930,0
1932-05-30,2,1,1970-01-01 00:00:00.000001930,1
1932-07-16,9,9,1970-01-01 00:00:00.000001930,0
1932-12-08,7,0,1970-01-01 00:00:00.000001930,7
1932-08-31,2,2,1970-01-01 00:00:00.000001930,0
1932-08-09,4,3,1970-01-01 00:00:00.000001930,1
1932-09-17,2,1,1970-01-01 00:00:00.000001930,1
1932-09-18,3,3,1970-01-01 00:00:00.000001930,0
1932-12-10,1,1,1970-01-01 00:00:00.000001930,0
1932-10-26,2,2,1970-01-01 00:00:00.000001930,0
1932-10-29,2,2,1970-01-01 00:00:00.000001930,0
1932-02-11,5,5,1970-01-01 00:00:00.000001930,0
1932-11-25,2,2,1970-01-01 00:00:00.000001930,0
1932-12-14,2,2,1970-01-01 00:00:00.000001930,0
1932-12-14,1,1,1970-01-01 00:00:00.000001930,0
1932-12-26,1,1,1970-01-01 00:00:00.000001930,0
1933-10-01,3,1,1970-01-01 00:00:00.000001930,2
